Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0; WT TAZ; Abundance 1226503,t=24; WT TAZ; Abundance 1226504,t=36; WT TAZ; Abundance 1226505,t=48; WT TAZ; Abundance 1226506,t=0; Y2 TAZ; Abundance 1226507,t=24; Y2 TAZ; Abundance 1226508,t=36; Y2 TAZ; Abundance 1226509,t=48; Y2 TAZ; Abundance 1226510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13330,Metastasis-associated protein MTA1 OS=Homo sapiens OX=9606 GN=MTA1 PE=1 SV=2,23,14,60,7,80.7,MTA1,3.52E+06,4.83E+06,1.11E+07,1.26E+07,4.23E+04,4.23E+05,1.97E+06,4.48E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWC1,MAP7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=2,1,1,1,1,98.4,MAP7D3,3.40E+05,5.33E+05,1.16E+06,2.63E+06,,4.22E+05,5.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16629,Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1,32,7,54,6,27.4,SRSF7,5.88E+06,1.25E+07,2.69E+07,2.95E+07,3.58E+04,4.21E+05,3.11E+06,7.12E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9UI32,"Glutaminase liver isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS2 PE=1 SV=2",1,1,2,1,66.3,GLS2,2.20E+06,7.13E+06,1.40E+07,2.25E+07,9.83E+04,4.19E+05,1.48E+06,4.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13576,Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4,14,18,50,15,180.5,IQGAP2,3.73E+06,3.14E+06,8.12E+06,6.76E+06,1.09E+04,4.18E+05,2.19E+06,6.64E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13796,Protein Shroom2 OS=Homo sapiens OX=9606 GN=SHROOM2 PE=1 SV=1,43,47,161,46,176.3,SHROOM2,1.76E+07,2.27E+07,3.05E+07,3.76E+07,6.11E+04,4.17E+05,2.58E+06,1.70E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P289,Serine/threonine-protein kinase 26 OS=Homo sapiens OX=9606 GN=STK26 PE=1 SV=2,32,11,41,7,46.5,STK26,3.65E+06,3.05E+06,1.14E+07,1.24E+07,2.59E+04,4.17E+05,1.29E+06,6.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96EV2,RNA-binding protein 33 OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=3,10,6,19,6,129.9,RBM33,8.41E+05,1.07E+06,1.16E+06,1.31E+06,2.03E+05,4.16E+05,6.51E+05,3.94E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07065,Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2,50,24,89,24,66,CKAP4,9.25E+06,6.93E+06,1.34E+07,5.69E+07,2.78E+04,4.15E+05,3.09E+06,1.76E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P29692,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,30,6,19,6,31.1,EEF1D,7.52E+05,1.20E+06,3.56E+06,5.81E+06,,4.14E+05,1.32E+06,5.45E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16403,Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,38,13,85,2,21.4,H1-2,3.52E+05,1.46E+05,1.04E+06,3.17E+06,,4.13E+05,1.80E+06,1.49E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,28,18,78,9,84.6,HSP90AA1,2.44E+06,1.64E+06,4.55E+06,5.72E+06,1.56E+05,4.08E+05,1.48E+06,8.47E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43166,Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens OX=9606 GN=SIPA1L1 PE=1 SV=4,28,36,93,36,199.9,SIPA1L1,5.97E+06,1.25E+07,1.89E+07,1.91E+07,1.07E+04,4.07E+05,4.34E+06,5.81E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13797,Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4,43,22,74,22,70.8,PLS3,2.10E+07,5.84E+06,1.05E+07,7.76E+06,1.48E+04,4.07E+05,1.64E+06,6.86E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40227,T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,32,14,45,14,58,CCT6A,4.99E+06,2.22E+06,8.09E+06,8.83E+06,3.36E+04,4.04E+05,1.41E+06,1.54E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y4W6,AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,13,9,30,8,88.5,AFG3L2,1.62E+06,1.60E+06,4.31E+06,1.08E+07,1.25E+05,4.02E+05,1.42E+06,4.96E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WWY3,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens OX=9606 GN=PRPF31 PE=1 SV=2,35,13,47,13,55.4,PRPF31,2.53E+06,5.09E+06,1.15E+07,1.14E+07,5.13E+05,4.02E+05,1.58E+06,4.62E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P26196,Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,37,13,46,13,54.4,DDX6,2.96E+06,5.44E+06,1.12E+07,9.34E+06,,3.98E+05,1.79E+06,6.95E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28370,Probable global transcription activator SNF2L1 OS=Homo sapiens OX=9606 GN=SMARCA1 PE=1 SV=2,31,32,155,17,122.5,SMARCA1,5.80E+06,7.34E+06,1.26E+07,1.44E+07,8.39E+04,3.98E+05,2.78E+06,5.36E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O15145,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3,19,3,15,3,20.5,ARPC3,2.96E+06,2.30E+06,4.32E+06,2.96E+06,,3.97E+05,2.20E+06,6.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51153,Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1,18,4,14,1,22.8,RAB13,1.19E+06,1.22E+06,3.27E+06,4.25E+06,8.37E+04,3.97E+05,9.64E+05,8.49E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P26368,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4,36,15,79,15,53.5,U2AF2,7.97E+06,9.02E+06,2.73E+07,4.03E+07,2.44E+05,3.94E+05,2.13E+06,6.54E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02545,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,20,10,14,10,74.1,LMNA,,6.26E+05,2.15E+05,,,3.89E+05,2.06E+06,2.16E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UNX4,WD repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=WDR3 PE=1 SV=1,31,23,79,23,106,WDR3,1.20E+07,8.96E+06,1.43E+07,1.23E+07,5.93E+04,3.88E+05,2.88E+06,8.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IX01,SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2,17,15,45,15,120.1,SUGP2,3.41E+06,4.08E+06,5.69E+06,7.42E+06,5.71E+05,3.86E+05,6.41E+05,4.67E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q53GS9,U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens OX=9606 GN=USP39 PE=1 SV=2,38,17,72,17,65.3,USP39,6.22E+06,7.90E+06,1.57E+07,1.91E+07,2.93E+04,3.84E+05,2.40E+06,6.12E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49792,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,13,31,66,31,358,RANBP2,2.28E+06,4.39E+06,9.56E+06,1.41E+07,1.20E+05,3.84E+05,2.84E+06,6.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42167,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",40,11,47,6,50.6,TMPO,8.27E+05,1.22E+06,1.47E+06,2.53E+06,4.83E+04,3.83E+05,3.16E+06,4.40E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P53396,ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,15,13,20,13,120.8,ACLY,2.47E+05,,1.08E+06,2.02E+06,6.88E+04,3.81E+05,9.63E+05,1.34E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q1KMD3,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1,26,14,53,14,85.1,HNRNPUL2,3.27E+06,4.71E+06,7.20E+06,1.19E+07,1.60E+04,3.79E+05,1.24E+06,3.14E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49207,60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,28,4,18,4,13.3,RPL34,4.23E+06,4.58E+06,1.05E+07,1.76E+07,7.68E+04,3.79E+05,1.48E+06,5.19E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16698,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1",44,12,40,12,36,DECR1,6.07E+06,6.89E+06,1.20E+07,1.50E+07,2.45E+04,3.79E+05,1.06E+06,4.43E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60891,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2,37,10,34,10,34.8,PRPS1,2.49E+06,1.43E+06,6.51E+06,5.70E+06,,3.76E+05,1.64E+06,1.13E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78371,T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4,37,12,40,12,57.5,CCT2,4.73E+06,2.06E+06,7.67E+06,9.45E+06,1.87E+04,3.75E+05,1.53E+06,9.58E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z3K3,Pogo transposable element with ZNF domain OS=Homo sapiens OX=9606 GN=POGZ PE=1 SV=2,26,28,114,28,155.2,POGZ,8.47E+06,1.22E+07,2.51E+07,3.31E+07,3.62E+04,3.73E+05,2.87E+06,4.84E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BXP5,Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,28,21,70,21,100.6,SRRT,4.83E+06,1.14E+07,1.95E+07,3.80E+07,,3.72E+05,1.06E+06,4.07E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H7B2,Ribosome production factor 2 homolog OS=Homo sapiens OX=9606 GN=RPF2 PE=1 SV=2,42,11,56,11,35.6,RPF2,1.08E+07,1.65E+07,3.14E+07,2.75E+07,1.37E+04,3.70E+05,1.86E+06,5.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51648,Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1,20,9,33,9,54.8,ALDH3A2,1.16E+06,1.18E+06,6.30E+06,6.52E+06,4.66E+04,3.69E+05,1.51E+06,6.78E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NR12,PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1,26,11,33,11,49.8,PDLIM7,2.28E+06,6.23E+06,6.99E+06,1.18E+07,7.71E+04,3.69E+05,1.28E+06,3.99E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,A6NKF2,AT-rich interactive domain-containing protein 3C OS=Homo sapiens OX=9606 GN=ARID3C PE=1 SV=1,2,1,4,1,44,ARID3C,,,,,1.43E+05,3.68E+05,2.75E+06,1.49E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P0K7,Ankycorbin OS=Homo sapiens OX=9606 GN=RAI14 PE=1 SV=2,28,20,57,20,110,RAI14,7.15E+06,3.58E+06,6.47E+06,7.68E+06,,3.67E+05,1.66E+06,1.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92766,Ras-responsive element-binding protein 1 OS=Homo sapiens OX=9606 GN=RREB1 PE=1 SV=3,3,4,6,4,181.3,RREB1,5.19E+04,2.57E+05,9.76E+05,1.04E+06,3.60E+04,3.65E+05,8.06E+05,3.33E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NQW6,Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,16,15,42,15,124.1,ANLN,1.64E+06,4.98E+06,7.51E+06,1.07E+07,,3.64E+05,1.60E+06,3.35E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04908,Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC8 PE=1 SV=2,44,9,182,2,14.1,H2AC4; H2AC8,2.66E+05,6.90E+05,2.10E+06,3.64E+06,,3.56E+05,1.21E+06,1.05E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13573,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1,37,14,41,14,61.5,SNW1,7.29E+06,7.98E+06,1.89E+07,2.22E+07,9.30E+04,3.54E+05,2.14E+06,4.87E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16531,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,28,26,76,26,126.9,DDB1,8.91E+06,1.00E+07,2.08E+07,2.33E+07,3.01E+04,3.54E+05,4.91E+06,4.73E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens OX=9606 GN=GNAI2 PE=1 SV=3,40,11,63,6,40.4,GNAI2,9.73E+06,1.04E+07,2.08E+07,3.47E+07,6.70E+04,3.53E+05,1.97E+06,7.57E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BQ39,ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1,42,24,117,21,82.5,DDX50,1.05E+07,1.36E+07,2.28E+07,2.63E+07,2.42E+04,3.52E+05,2.16E+06,5.65E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UBW7,Zinc finger MYM-type protein 2 OS=Homo sapiens OX=9606 GN=ZMYM2 PE=1 SV=1,15,17,41,16,154.8,ZMYM2,3.10E+06,4.71E+06,8.53E+06,1.09E+07,5.43E+04,3.51E+05,1.71E+06,4.59E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14497,AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3,10,16,42,14,241.9,ARID1A,1.79E+06,3.81E+06,7.40E+06,7.05E+06,6.79E+04,3.51E+05,1.09E+06,4.61E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H2D6,TRIO and F-actin-binding protein OS=Homo sapiens OX=9606 GN=TRIOBP PE=1 SV=3,15,28,67,27,261.2,TRIOBP,8.37E+06,7.67E+06,1.33E+07,1.97E+07,1.63E+05,3.51E+05,7.10E+05,2.18E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12236,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,51,15,141,1,32.8,SLC25A6,1.10E+06,1.39E+06,3.10E+06,4.49E+06,1.64E+05,3.48E+05,1.61E+06,6.02E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12792,Twinfilin-1 OS=Homo sapiens OX=9606 GN=TWF1 PE=1 SV=3,36,11,48,8,40.3,TWF1,5.53E+06,3.63E+06,1.19E+07,1.01E+07,1.71E+04,3.45E+05,1.29E+06,1.94E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35249,Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2,37,9,40,9,39.7,RFC4,4.29E+06,5.87E+06,8.67E+06,1.04E+07,3.35E+04,3.45E+05,1.63E+06,4.42E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y5J1,U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=UTP18 PE=1 SV=3,35,13,50,13,62,UTP18,8.69E+06,6.22E+06,9.73E+06,9.66E+06,4.33E+05,3.44E+05,2.38E+06,6.13E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52597,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3,39,12,136,10,45.6,HNRNPF,7.36E+06,9.36E+06,2.43E+07,4.22E+07,1.89E+05,3.44E+05,1.74E+06,6.42E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95831,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",33,13,42,13,66.9,AIFM1,4.28E+06,4.79E+06,9.26E+06,1.29E+07,,3.43E+05,1.79E+06,5.11E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2,17,10,28,10,95.7,HNRNPUL1,2.06E+06,3.71E+06,6.59E+06,7.84E+06,4.27E+04,3.41E+05,1.81E+06,7.56E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14137,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,23,13,53,13,83.6,BOP1,7.79E+06,5.90E+06,7.22E+06,1.06E+07,1.84E+04,3.38E+05,1.61E+06,4.23E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q01780,Exosome component 10 OS=Homo sapiens OX=9606 GN=EXOSC10 PE=1 SV=2,44,30,105,30,100.8,EXOSC10,1.30E+07,1.78E+07,2.69E+07,3.39E+07,6.88E+04,3.38E+05,2.80E+06,6.23E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,35,14,41,14,57.9,PKM,2.65E+06,3.04E+06,7.99E+06,7.23E+06,2.28E+05,3.37E+05,1.93E+06,3.13E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05089,Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2,27,7,23,7,34.7,ARG1,5.99E+05,1.07E+06,3.44E+05,4.31E+05,1.30E+06,3.37E+05,1.45E+06,2.65E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P39748,Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,34,9,29,9,42.6,FEN1,1.28E+06,1.94E+06,4.97E+06,6.14E+06,3.17E+04,3.37E+05,2.19E+06,6.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96G21,U3 small nucleolar ribonucleoprotein protein IMP4 OS=Homo sapiens OX=9606 GN=IMP4 PE=1 SV=1,33,8,17,8,33.7,IMP4,4.51E+06,2.94E+06,5.41E+06,5.24E+06,7.32E+04,3.37E+05,1.45E+06,3.69E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NQ55,Suppressor of SWI4 1 homolog OS=Homo sapiens OX=9606 GN=PPAN PE=2 SV=1,34,14,43,14,53.2,PPAN,6.69E+06,8.31E+06,1.38E+07,1.66E+07,4.64E+04,3.35E+05,1.11E+06,3.00E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NBU5,Outer mitochondrial transmembrane helix translocase OS=Homo sapiens OX=9606 GN=ATAD1 PE=1 SV=1,3,1,3,1,40.7,ATAD1,3.68E+05,4.19E+05,2.99E+05,3.89E+05,5.18E+05,3.33E+05,4.16E+05,3.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,G2XKQ0,Small ubiquitin-related modifier 5 OS=Homo sapiens OX=9606 GN=SUMO1P1 PE=1 SV=2,19,2,7,2,11.5,SUMO1P1,2.74E+05,1.86E+05,5.47E+05,1.09E+06,5.84E+04,3.32E+05,9.01E+05,4.39E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17480,Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1,28,17,75,17,89.4,UBTF,1.42E+07,1.45E+07,2.63E+07,3.94E+07,1.79E+04,3.29E+05,3.08E+06,6.69E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55075,Fibroblast growth factor 8 OS=Homo sapiens OX=9606 GN=FGF8 PE=1 SV=1,5,1,1,1,26.5,FGF8,1.03E+06,1.44E+06,3.61E+06,3.68E+06,,3.28E+05,2.26E+06,2.11E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UPQ0,LIM and calponin homology domains-containing protein 1 OS=Homo sapiens OX=9606 GN=LIMCH1 PE=1 SV=4,24,18,45,18,121.8,LIMCH1,1.22E+06,3.92E+06,6.51E+06,1.65E+07,,3.27E+05,2.21E+06,4.04E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14692,Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens OX=9606 GN=BMS1 PE=1 SV=1,22,22,60,22,145.7,BMS1,6.78E+06,5.51E+06,1.01E+07,1.40E+07,5.30E+04,3.25E+05,1.26E+06,2.72E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62304,Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1,52,3,21,3,10.8,SNRPE,4.26E+06,4.20E+06,1.25E+07,1.48E+07,2.29E+05,3.22E+05,1.54E+06,5.70E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UIG0,Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2,18,23,68,23,170.8,BAZ1B,4.69E+06,6.68E+06,1.47E+07,2.04E+07,2.00E+04,3.22E+05,3.93E+06,3.23E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96P63,Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1,15,5,15,5,46.2,SERPINB12,4.94E+05,9.91E+05,3.05E+05,5.73E+05,9.89E+05,3.20E+05,8.76E+05,3.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75691,Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3,16,40,89,40,318.2,UTP20,1.00E+07,1.01E+07,1.97E+07,2.00E+07,1.63E+05,3.19E+05,2.31E+06,5.73E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13123,Protein Red OS=Homo sapiens OX=9606 GN=IK PE=1 SV=3,24,11,43,11,65.6,IK,2.82E+06,5.45E+06,1.33E+07,1.89E+07,6.25E+04,3.17E+05,1.38E+06,4.74E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P67809,Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3,28,6,25,6,35.9,YBX1,2.81E+06,6.83E+06,1.07E+07,1.14E+07,,3.17E+05,1.55E+06,5.63E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q04695,"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",46,21,142,8,48.1,KRT17,1.79E+05,2.04E+06,1.34E+06,1.54E+06,7.23E+05,3.16E+05,3.12E+05,2.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BWF3,RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1,38,10,29,10,40.3,RBM4,2.33E+06,3.55E+06,7.81E+06,7.77E+06,6.23E+04,3.14E+05,1.12E+06,4.72E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y467,Sal-like protein 2 OS=Homo sapiens OX=9606 GN=SALL2 PE=1 SV=4,10,7,26,6,105.2,,2.03E+06,1.81E+06,5.61E+06,7.44E+06,3.15E+04,3.13E+05,8.06E+05,3.21E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NWH9,SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2,20,17,50,17,117.1,SLTM,3.43E+06,3.94E+06,1.46E+07,2.04E+07,5.42E+04,3.12E+05,1.59E+06,1.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
